PARAMETER,YEAR,ANN,Country
GWETTOP,2015,0.07,Egypt
GWETTOP,2016,0.11,Egypt
GWETTOP,2017,0.13,Egypt
GWETTOP,2018,0.1,Egypt
GWETTOP,2019,0.1,Egypt
GWETTOP,2020,0.11,Egypt
GWETTOP,2021,0.09,Egypt
GWETTOP,2022,0.1,Egypt
GWETTOP,2023,0.11,Egypt
GWETTOP,2024,0.11,Egypt
QV2M,2015,5.78,Egypt
QV2M,2016,5.89,Egypt
QV2M,2017,5.83,Egypt
QV2M,2018,6.02,Egypt
QV2M,2019,5.63,Egypt
QV2M,2020,6.1,Egypt
QV2M,2021,5.86,Egypt
QV2M,2022,5.92,Egypt
QV2M,2023,6.19,Egypt
QV2M,2024,6.0,Egypt
T2M,2015,22.09,Egypt
T2M,2016,22.12,Egypt
T2M,2017,21.61,Egypt
T2M,2018,22.77,Egypt
T2M,2019,22.16,Egypt
T2M,2020,22.02,Egypt
T2M,2021,22.39,Egypt
T2M,2022,21.65,Egypt
T2M,2023,22.75,Egypt
T2M,2024,22.63,Egypt
GWETTOP,2015,1.0,China
GWETTOP,2016,1.0,China
GWETTOP,2017,1.0,China
GWETTOP,2018,1.0,China
GWETTOP,2019,1.0,China
GWETTOP,2020,1.0,China
GWETTOP,2021,1.0,China
GWETTOP,2022,1.0,China
GWETTOP,2023,1.0,China
GWETTOP,2024,1.0,China
QV2M,2015,15.63,China
QV2M,2016,16.31,China
QV2M,2017,15.64,China
QV2M,2018,15.79,China
QV2M,2019,16.18,China
QV2M,2020,16.08,China
QV2M,2021,15.79,China
QV2M,2022,16.26,China
QV2M,2023,15.84,China
QV2M,2024,16.48,China
T2M,2015,24.57,China
T2M,2016,25.11,China
T2M,2017,24.42,China
T2M,2018,24.45,China
T2M,2019,24.7,China
T2M,2020,24.87,China
T2M,2021,24.47,China
T2M,2022,24.82,China
T2M,2023,24.46,China
T2M,2024,25.32,China
GWETTOP,2015,0.46,Australia
GWETTOP,2016,0.45,Australia
GWETTOP,2017,0.46,Australia
GWETTOP,2018,0.49,Australia
GWETTOP,2019,0.51,Australia
GWETTOP,2020,0.54,Australia
GWETTOP,2021,0.52,Australia
GWETTOP,2022,0.49,Australia
GWETTOP,2023,0.47,Australia
GWETTOP,2024,0.47,Australia
QV2M,2015,5.28,Australia
QV2M,2016,5.55,Australia
QV2M,2017,5.56,Australia
QV2M,2018,5.9,Australia
QV2M,2019,5.69,Australia
QV2M,2020,5.73,Australia
QV2M,2021,5.69,Australia
QV2M,2022,5.94,Australia
QV2M,2023,5.56,Australia
QV2M,2024,6.19,Australia
T2M,2015,7.71,Australia
T2M,2016,7.88,Australia
T2M,2017,7.71,Australia
T2M,2018,7.33,Australia
T2M,2019,7.4,Australia
T2M,2020,7.13,Australia
T2M,2021,7.51,Australia
T2M,2022,7.85,Australia
T2M,2023,8.0,Australia
T2M,2024,8.42,Australia
GWETTOP,2015,0.44,USA
GWETTOP,2016,0.45,USA
GWETTOP,2017,0.43,USA
GWETTOP,2018,0.42,USA
GWETTOP,2019,0.42,USA
GWETTOP,2020,0.43,USA
GWETTOP,2021,0.4,USA
GWETTOP,2022,0.4,USA
GWETTOP,2023,0.4,USA
GWETTOP,2024,0.42,USA
QV2M,2015,4.5,USA
QV2M,2016,4.82,USA
QV2M,2017,4.44,USA
QV2M,2018,4.22,USA
QV2M,2019,4.26,USA
QV2M,2020,4.46,USA
QV2M,2021,4.35,USA
QV2M,2022,4.44,USA
QV2M,2023,4.69,USA
QV2M,2024,4.65,USA
T2M,2015,5.1,USA
T2M,2016,5.57,USA
T2M,2017,4.54,USA
T2M,2018,3.91,USA
T2M,2019,3.08,USA
T2M,2020,3.91,USA
T2M,2021,5.16,USA
T2M,2022,4.14,USA
T2M,2023,6.05,USA
T2M,2024,4.67,USA
