admin0,crop,hectares (ha),production (tonnes),yield(tonnes/ha)
France,wheat,89155,676759.5,7.59081936
France,wheat,401630,3112380.5,7.749372557
France,wheat,524040,4319562,8.242809709
France,wheat,261270,2188146,8.375037318
France,wheat,645000,4423667.25,6.858398837
France,wheat,204570,1403731.2,6.861862443
France,wheat,309295,2044444.5,6.610014711
France,wheat,284970,2524727,8.85962382
France,wheat,234710,1564703,6.666537429
France,wheat,48316,353078.7,7.307697243
France,wheat,64875,400318.25,6.170608863
France,wheat,387767,2409108,6.212772103
France,wheat,297150,2024506,6.81307757
France,wheat,374030,2379868,6.36277304
France,wheat,102032,547463.7,5.365607849
France,wheat,256380,1177728.5,4.593683205
France,wheat,28115,133474.05,4.747431976
France,wheat,238955,1659815.15,6.946141114
France,wheat,110664,638393.82,5.768757862
France,wheat,11585,46512.5,4.014889944
France,wheat,5636,18326.21,3.251634138
France,wheat,63,220.5,3.5
France,maize,12135,102364.6,8.435484137
France,maize,45724,316761.3,6.927681305
France,maize,32810,270574.2,8.246699177
France,maize,8205,72037.5,8.779707495
France,maize,115975,1146151.6,9.882747144
France,maize,17000,152225,8.954411765
France,maize,44794,351677.94,7.851005492
France,maize,16080,137072.8,8.524427861
France,maize,19450,116106,5.969460154
France,maize,122790,1331752.6,10.84577409
France,maize,22115,133948.5,6.056907077
France,maize,126068,1101060.74,8.733863788
France,maize,122563,1139782.43,9.299563735
France,maize,146997,1184241.19,8.05622693
France,maize,269436,2549816.49,9.463533047
France,maize,135605,1163268.05,8.578356624
France,maize,3030,17258.1,5.695742574
France,maize,119154,1058517.54,8.883608943
France,maize,40438,340822.29,8.428267718
France,maize,3345,16969.1,5.072974589
France,maize,1837,14771.76,8.041241154
France,maize,642,7704,12
South Africa,wheat,505000,635575.0942,5.092043417
South Africa,maize,2318850,13207310,5.695629299
United States,wheat,44514.8,215545.3952,4.842106337
United States,wheat,29946.32,206292.1838,6.886551235
United States,wheat,38444.6,142200.0871,3.69883123
United States,wheat,57869.24,315833.8776,5.460819924
United States,wheat,790744.72,1918789.462,2.427778316
United States,wheat,18210.6,86952.97191,4.77485486
United States,wheat,4046.8,9797.517962,2.421053168
United States,wheat,28327.6,102873.9386,3.631579753
United States,wheat,459716.48,2841552.362,6.180410727
United States,wheat,226620.8,1005878.511,4.438597476
United States,wheat,105216.8,502394.9488,4.77485486
United States,wheat,2428.08,9470.93403,3.90058566
United States,wheat,2954164,7549531.896,2.555556122
United States,wheat,121404,538863.4879,4.438597476
United States,wheat,4046.8,17689.96299,4.371345999
United States,wheat,80936,342913.1287,4.236843045
United States,wheat,190199.6,972131.5045,5.111112245
United States,wheat,637371,2529120.401,3.967837137
United States,wheat,12140.4,40006.53168,3.295322368
United States,wheat,210433.6,834966.253,3.967837137
United States,wheat,2090172.2,5378565.208,2.575731565
United States,wheat,408726.8,1346886.567,3.295322368
United States,wheat,3237.44,24493.79491,7.565791151
United States,wheat,6070.2,25310.25474,4.169591568
United States,wheat,42491.4,42864.14108,1.008772154
United States,wheat,38444.6,178396.4729,4.640351906
United States,wheat,149731.6,573971.2606,3.833334183
United States,wheat,3089731.8,9892308.948,3.201170301
United States,wheat,182106,918517.3089,5.043860768
United States,wheat,1011700,1905072.937,1.883041353
United States,wheat,311603.6,1404038.755,4.505848952
United States,wheat,58678.6,256504.4633,4.371345999
United States,wheat,26304.2,95525.80013,3.631579753
United States,wheat,658819.04,1967504.899,2.985965574
United States,wheat,115333.8,504163.9451,4.371345999
United States,wheat,708190,1524058.35,2.152047261
United States,wheat,41682.04,145765.295,3.497076799
United States,wheat,62725.4,253102.5474,4.035088614
United States,wheat,876132.2,4169660.353,4.761404565
United States,wheat,1214.04,3755.715219,3.093567937
United States,wheat,80936,386457.653,4.77485486
United States,wheat,46538.2,106411.9312,2.286550215
United States,maize,95099.8,1050599.472,11.04733629
United States,maize,263042,2988467.791,11.36118107
United States,maize,30351,348633.4078,11.48671898
United States,maize,546318,4355059.947,7.971657436
United States,maize,64344.12,630054.8669,9.791957166
United States,maize,111287,1180527.332,10.6079536
United States,maize,52608.4,676945.7427,12.86763602
United States,maize,4390778,57876955.9,13.1814808
United States,maize,2092195.6,25477037.19,12.1771775
United States,maize,5159670,64125685.84,12.42825333
United States,maize,2063868,16841089.21,8.159964305
United States,maize,501803.2,5638081.691,11.23564316
United States,maize,182106,1943202.601,10.67072255
United States,maize,157825.2,1505791.506,9.540881341
United States,maize,768892,8011583.012,10.41964673
United States,maize,3014866,34820158.5,11.54948794
United States,maize,186152.8,2196707.986,11.80056376
United States,maize,1355678,12338701.48,9.101498647
United States,maize,3743290,45817669.17,12.23994646
United States,maize,254948.4,2656472.262,10.41964673
United States,maize,339931.2,2496443.812,7.343967874
United States,maize,1181665.6,10829099.78,9.164267604
United States,maize,1319256.8,15982015.85,12.11440854
United States,maize,113310.4,995732.5747,8.787653867
United States,maize,176845.16,1701635.846,9.622480984
United States,maize,368258.8,3582859.175,9.729188209
United States,maize,125450.8,952804.3081,7.595043699
United States,maize,2003166,20872282.06,10.41964673
United States,maize,277205.8,3010185.938,10.85902942
United States,maize,772938.8,5482371.469,7.092892049
United States,maize,133544.4,1240601.504,9.289805516
United States,maize,28732.28,405786.4255,14.12301514
United States,maize,1214040,13488112.17,11.11010525
United States,spring wheat,28327.6,201937.7313,7.128656552
United States,spring wheat,13354.44,85320.05225,6.388890306
United States,spring wheat,4451.48,25446.33137,5.716375537
United States,spring wheat,313627,632756.3684,2.017544307
United States,spring wheat,435031,1155644.459,2.656433338
United States,spring wheat,1214.04,2286.087524,1.883041353
United States,winter wheat,44514.8,215545.3952,4.842106337
United States,winter wheat,1618.72,4354.452428,2.690059076
United States,winter wheat,38444.6,142200.0871,3.69883123
United States,winter wheat,44514.8,230513.8254,5.178363721
United States,winter wheat,789126,1910516.003,2.421053168
United States,winter wheat,18210.6,86952.97191,4.77485486
United States,winter wheat,4046.8,9797.517962,2.421053168
United States,winter wheat,28327.6,102873.9386,3.631579753
United States,winter wheat,275182.4,1665578.054,6.052632921
United States,winter wheat,226620.8,1005878.511,4.438597476
United States,winter wheat,105216.8,502394.9488,4.77485486
United States,winter wheat,2428.08,9470.93403,3.90058566
United States,winter wheat,2954164,7549531.896,2.555556122
United States,winter wheat,121404,538863.4879,4.438597476
United States,winter wheat,4046.8,17689.96299,4.371345999
United States,winter wheat,80936,342913.1287,4.236843045
United States,winter wheat,190199.6,972131.5045,5.111112245
United States,winter wheat,2023.4,8164.598302,4.035088614
United States,winter wheat,12140.4,40006.53168,3.295322368
United States,winter wheat,210433.6,834966.253,3.967837137
United States,winter wheat,635347.6,2136403.222,3.362573845
United States,winter wheat,408726.8,1346886.567,3.295322368
United States,winter wheat,2023.4,16329.1966,8.070177228
United States,winter wheat,6070.2,25310.25474,4.169591568
United States,winter wheat,42491.4,42864.14108,1.008772154
